sampleID,domainID,siteID,collectDate,analyte,analyteConcentration,analyteUnits,mdl,below_det,NEONpackage
ARIK.RE.20200916.POM.1,D10,ARIK,2020-09-16T18:02:00Z,TPC,6227.29,microgramsPerLiter,NA,NA,DP1.20206.001
ARIK.RE.20200916.POM.1,D10,ARIK,2020-09-16T18:02:00Z,d13C,-25.64,perMill,NA,NA,DP1.20206.001
ARIK.RE.20200916.POM.1,D10,ARIK,2020-09-16T18:02:00Z,TPN,697.42,microgramsPerLiter,NA,NA,DP1.20206.001
ARIK.RE.20200916.POM.1,D10,ARIK,2020-09-16T18:02:00Z,d15N,5.59,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150602.POM.1,D10,ARIK,2015-06-02T17:40:00Z,d15N,4.9,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150602.POM.1,D10,ARIK,2015-06-02T17:40:00Z,d15N,4.9,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150602.POM.2,D10,ARIK,2015-06-02T17:40:00Z,d13C,-27.86,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150602.POM.2,D10,ARIK,2015-06-02T17:40:00Z,d15N,3.94,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150602.POM.2,D10,ARIK,2015-06-02T17:40:00Z,d13C,-27.86,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150602.POM.2,D10,ARIK,2015-06-02T17:40:00Z,d15N,3.94,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150610.POM.1,D10,ARIK,2015-06-10T18:36:00Z,d15N,4.61,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150610.POM.1,D10,ARIK,2015-06-10T18:36:00Z,d13C,-27.07,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150610.POM.1,D10,ARIK,2015-06-10T18:36:00Z,d13C,-27.07,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150610.POM.1,D10,ARIK,2015-06-10T18:36:00Z,d15N,4.61,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150610.POM.2,D10,ARIK,2015-06-10T18:36:00Z,d13C,-26.99,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150610.POM.2,D10,ARIK,2015-06-10T18:36:00Z,d13C,-26.99,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150610.POM.2,D10,ARIK,2015-06-10T18:36:00Z,d15N,4.06,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150610.POM.2,D10,ARIK,2015-06-10T18:36:00Z,d15N,4.06,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150707.POM.1,D10,ARIK,2015-07-07T18:06:00Z,d13C,-26.93,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150707.POM.1,D10,ARIK,2015-07-07T18:06:00Z,d13C,-26.93,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150707.POM.1,D10,ARIK,2015-07-07T18:06:00Z,d15N,5.71,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150707.POM.1,D10,ARIK,2015-07-07T18:06:00Z,d15N,5.71,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150707.POM.2,D10,ARIK,2015-07-07T18:06:00Z,d15N,4.88,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150707.POM.2,D10,ARIK,2015-07-07T18:06:00Z,d13C,-28.62,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150707.POM.2,D10,ARIK,2015-07-07T18:06:00Z,d15N,4.88,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150707.POM.2,D10,ARIK,2015-07-07T18:06:00Z,d13C,-28.62,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150721.POM.1,D10,ARIK,2015-07-21T16:00:00Z,d13C,-28.85,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150721.POM.1,D10,ARIK,2015-07-21T16:00:00Z,d13C,-28.85,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150721.POM.1,D10,ARIK,2015-07-21T16:00:00Z,d15N,4.88,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150721.POM.1,D10,ARIK,2015-07-21T16:00:00Z,d15N,4.88,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150721.POM.2,D10,ARIK,2015-07-21T16:00:00Z,d15N,9.08,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150721.POM.2,D10,ARIK,2015-07-21T16:00:00Z,d15N,9.08,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150721.POM.2,D10,ARIK,2015-07-21T16:00:00Z,d13C,-28.33,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150721.POM.2,D10,ARIK,2015-07-21T16:00:00Z,d13C,-28.33,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150804.POM.1,D10,ARIK,2015-08-04T22:42:00Z,d15N,4.92,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150804.POM.1,D10,ARIK,2015-08-04T22:42:00Z,d15N,4.92,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150804.POM.1,D10,ARIK,2015-08-04T22:42:00Z,d13C,-30.65,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150804.POM.1,D10,ARIK,2015-08-04T22:42:00Z,d13C,-30.65,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150804.POM.2,D10,ARIK,2015-08-04T22:42:00Z,d13C,-32.76,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150804.POM.2,D10,ARIK,2015-08-04T22:42:00Z,d15N,4.02,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150804.POM.2,D10,ARIK,2015-08-04T22:42:00Z,d15N,4.02,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150804.POM.2,D10,ARIK,2015-08-04T22:42:00Z,d13C,-32.76,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150818.POM.1,D10,ARIK,2015-08-18T18:24:00Z,d15N,4.81,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150818.POM.1,D10,ARIK,2015-08-18T18:24:00Z,d15N,4.81,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150818.POM.2,D10,ARIK,2015-08-18T18:24:00Z,d15N,4.23,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150818.POM.2,D10,ARIK,2015-08-18T18:24:00Z,d15N,4.23,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150831.POM.1,D10,ARIK,2015-08-31T17:22:00Z,d15N,5.96,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150831.POM.1,D10,ARIK,2015-08-31T17:22:00Z,d15N,5.96,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150831.POM.1,D10,ARIK,2015-08-31T17:22:00Z,d13C,-31.88,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150831.POM.1,D10,ARIK,2015-08-31T17:22:00Z,d13C,-31.88,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150831.POM.2,D10,ARIK,2015-08-31T17:22:00Z,d15N,4.54,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150831.POM.2,D10,ARIK,2015-08-31T17:22:00Z,d15N,4.54,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150831.POM.2,D10,ARIK,2015-08-31T17:22:00Z,d13C,-32.58,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150831.POM.2,D10,ARIK,2015-08-31T17:22:00Z,d13C,-32.58,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150924.POM.1,D10,ARIK,2015-09-24T18:40:00Z,d13C,-27.89,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150924.POM.1,D10,ARIK,2015-09-24T18:40:00Z,d15N,3.83,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150924.POM.1,D10,ARIK,2015-09-24T18:40:00Z,d15N,3.83,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150924.POM.1,D10,ARIK,2015-09-24T18:40:00Z,d13C,-27.89,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150924.POM.2,D10,ARIK,2015-09-24T18:40:00Z,d13C,-29.04,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150924.POM.2,D10,ARIK,2015-09-24T18:40:00Z,d13C,-29.04,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150924.POM.2,D10,ARIK,2015-09-24T18:40:00Z,d15N,3.18,perMill,NA,NA,DP1.20206.001
ARIK.SS.20150924.POM.2,D10,ARIK,2015-09-24T18:40:00Z,d15N,3.18,perMill,NA,NA,DP1.20206.001
ARIK.SS.20151006.POM.1,D10,ARIK,2015-10-06T17:00:00Z,d13C,-26.52,perMill,NA,NA,DP1.20206.001
ARIK.SS.20151006.POM.1,D10,ARIK,2015-10-06T17:00:00Z,d15N,9.84,perMill,NA,NA,DP1.20206.001
ARIK.SS.20151006.POM.1,D10,ARIK,2015-10-06T17:00:00Z,d13C,-26.52,perMill,NA,NA,DP1.20206.001
ARIK.SS.20151006.POM.1,D10,ARIK,2015-10-06T17:00:00Z,d15N,9.84,perMill,NA,NA,DP1.20206.001
ARIK.SS.20151006.POM.2,D10,ARIK,2015-10-06T17:00:00Z,d15N,7.21,perMill,NA,NA,DP1.20206.001
