siteID,domainID,collectDate,year,month,DOC_mgL,TDN_mgL,nitrate_mgL,TDP_mgL,TPC_mgL,TPN_mgL,TPP_mgL,TP_mgL,d13C_perMill,d15N_perMill,DOC_to_TDN_mgL,DOC_to_nitrate_mgL,DOC_to_TDP_mgL,TDN_to_TDP_mgL,TPC_to_TPN_mgL,TPC_to_TPP_mgL,TPN_to_TPP_mgL,DOC_mmolL,TDN_mmolL,TDP_mmolL,TPC_mmolL,TPN_mmolL,TPP_mmolL,DOC_to_TDN_mw,DOC_to_TDP_mw,TDN_to_TDP_mw,TPC_to_TPN_mw,TPC_to_TPP_mw,TPN_to_TPP_mw
ARIK,D10,2012-01-31T19:00:00Z,2012,01,3.68,0.228,0.03535533905932737,0.0079,NA,NA,0.00769999999999999,0.0156,NA,NA,16.140350877192983,104.08611819065982,465.82278481012656,28.860759493670884,NA,NA,NA,0.3063858130047457,0.016277575497965303,2.5505262478207533e-4,NA,NA,2.4859559630657937e-4,18.82257053840997,1201.2650850644293,63.82045866759206,NA,NA,NA
REDB,D15,2012-02-03T19:00:00Z,2012,02,2.12,0.07071067811865475,0.03535533905932737,0.0231,NA,NA,0.0066,0.0297,NA,NA,29.981327522309616,59.96265504461925,91.77489177489178,3.061068316824881,NA,NA,NA,0.17650487053534264,0.005048238603459324,7.457867889197391e-4,NA,NA,2.1308193969135403e-4,34.96365453375996,236.6693445870867,6.769010497989139,NA,NA,NA
REDB,D15,2012-02-16T19:00:00Z,2012,02,0.77,0.07071067811865475,0.03535533905932737,0.0216,NA,NA,0.00179999999999999,0.0234,NA,NA,10.889444430272832,21.77888886054567,35.648148148148145,3.2736425054932754,NA,NA,NA,0.0641079010906669,0.005048238603459324,6.973590753535224e-4,NA,NA,5.811325627945987e-5,12.699063203299607,91.92954298066279,7.239080671460606,NA,NA,NA
REDB,D15,2012-02-23T19:00:00Z,2012,02,1.61,0.07071067811865475,0.03535533905932737,0.0294,NA,NA,0.0053,0.0347,NA,NA,22.76883835420683,45.53767670841367,54.761904761904766,2.4051251060766923,NA,NA,NA,0.13404379318957624,0.005048238603459324,9.491831858978498e-4,NA,NA,1.7111125460063278e-4,26.552586697808266,141.22015136918145,5.318508248420038,NA,NA,NA
REDB,D15,2012-03-06T19:00:00Z,2012,03,1.63,0.111,0.03535533905932737,0.0231,NA,NA,0.0097,0.0328,NA,NA,14.684684684684683,46.10336213336291,70.56277056277057,4.805194805194805,NA,NA,NA,0.1357089334776455,0.007924609124009425,7.457867889197391e-4,NA,NA,3.131658810615355e-4,17.125000281273696,181.96746777214685,10.62583735961333,NA,NA,NA
ARIK,D10,2012-03-07T19:00:00Z,2012,03,5.46,0.279,0.03535533905932737,0.0101,NA,NA,0.0081,0.0182,NA,NA,19.569892473118276,154.43212101114202,540.5940594059406,27.62376237623763,NA,NA,NA,0.45458329864291075,0.019918612122510178,3.260799380125266e-4,NA,NA,2.6150965325757086e-4,22.822036788857524,1394.0854546698533,61.08505860224062,NA,NA,NA
REDB,D15,2012-03-13T18:00:00Z,2012,03,1.74,0.118,0.03535533905932737,0.0255,NA,NA,0.0091,0.0346,NA,NA,14.745762711864408,49.21463197058372,68.23529411764706,4.627450980392157,NA,NA,NA,0.1448672050620265,0.008424359248946956,8.23271130625686e-4,NA,NA,2.937947956350488e-4,17.19622831613394,175.9653650820082,10.232788367720904,NA,NA,NA
ARIK,D10,2012-03-14T18:00:00Z,2012,03,4.66,0.285,0.03535533905932737,0.0141,NA,NA,0.0075,0.0216,NA,NA,16.35087719298246,131.80470401317248,330.49645390070924,20.212765957446805,NA,NA,NA,0.3879776871201399,0.020346969372456628,4.552205075224382e-4,NA,NA,2.4213856783108413e-4,19.068082328041402,852.2851688552634,44.696952435636284,NA,NA,NA
ARIK,D10,2012-03-26T18:00:00Z,2012,03,5.45,0.338,0.03535533905932737,0.0186,NA,NA,0.0131,0.0317,NA,NA,16.124260355029584,154.14927829866738,293.0107526881721,18.17204301075269,NA,NA,NA,0.4537507284988761,0.024130791746983654,6.005036482210886e-4,NA,NA,4.229353651449603e-4,18.80380607717088,755.6169389529134,40.18425503070278,NA,NA,NA
REDB,D15,2012-03-30T18:00:00Z,2012,03,1.39,0.07071067811865475,0.03535533905932737,0.0203,NA,NA,0.0138,0.0341,NA,NA,19.65756851698602,39.31513703397205,68.47290640394088,3.4832846363869336,NA,NA,NA,0.11572725002081426,0.005048238603459324,6.55388390262801e-4,NA,NA,4.455349648091948e-4,22.92428292543695,176.57812030269463,7.702667118401434,NA,NA,NA
